compensation_month,advisor_id,advisor_name,team,region,compensation_plan,base_compensation,incentive_payout,total_compensation,leads_assigned,converted_leads,net_new_assets,ending_assets,payout_per_converted_lead,payout_per_dollar_net_new_assets,compensation_percentile,growth_percentile,conversion_percentile
2024-01-01,13,Advisor 13,Relationship Growth,Southeast,Standard,6734.84,0.0,6734.84,1,0,0,0,,,0.0,0.0,0.0
2024-01-01,16,Advisor 16,Retirement Specialists,Southeast,Standard,6953.3,0.0,6953.3,2,0,0,0,,,0.043478260869565216,0.0,0.0
2024-01-01,14,Advisor 14,Relationship Growth,Midwest,Standard,7271.73,0.0,7271.73,4,2,0,0,0.0,,0.08695652173913043,0.0,0.9565217391304348
2024-01-01,9,Advisor 09,Retirement Specialists,Southeast,Standard,7300.94,0.0,7300.94,4,1,0,0,0.0,,0.13043478260869565,0.0,0.6086956521739131
2024-01-01,23,Advisor 23,Retirement Specialists,Northeast,Standard,7358.88,0.0,7358.88,2,1,0,0,0.0,,0.17391304347826086,0.0,0.6086956521739131
2024-01-01,19,Advisor 19,Relationship Growth,West,Standard,7388.05,0.0,7388.05,5,1,0,0,0.0,,0.21739130434782608,0.0,0.6086956521739131
2024-01-01,3,Advisor 03,Acquisition,Southeast,Standard,7580.46,0.0,7580.46,5,1,0,0,0.0,,0.2608695652173913,0.0,0.6086956521739131
2024-01-01,5,Advisor 05,Relationship Growth,West,Standard,7591.5,0.0,7591.5,6,0,0,0,,,0.30434782608695654,0.0,0.0
2024-01-01,11,Advisor 11,High Value,Midwest,Growth Plus,7738.92,0.0,7738.92,4,0,0,0,,,0.34782608695652173,0.0,0.0
2024-01-01,21,Advisor 21,High Value,West,Growth Plus,8205.79,0.0,8205.79,2,0,0,0,,,0.391304347826087,0.0,0.0
2024-01-01,22,Advisor 22,Acquisition,Northeast,Standard,8262.83,0.0,8262.83,2,1,0,0,0.0,,0.43478260869565216,0.0,0.6086956521739131
2024-01-01,24,Advisor 24,Retirement Specialists,Southeast,Standard,8291.85,0.0,8291.85,1,0,0,0,,,0.4782608695652174,0.0,0.0
2024-01-01,8,Advisor 08,Acquisition,West,Standard,8299.14,0.0,8299.14,5,0,0,0,,,0.5217391304347826,0.0,0.0
2024-01-01,6,Advisor 06,Retirement Specialists,Northeast,Standard,8399.04,0.0,8399.04,3,0,0,0,,,0.5652173913043478,0.0,0.0
2024-01-01,15,Advisor 15,Acquisition,Midwest,Standard,8531.0,0.0,8531.0,4,1,0,0,0.0,,0.6086956521739131,0.0,0.6086956521739131
2024-01-01,2,Advisor 02,Acquisition,West,Standard,8631.66,0.0,8631.66,1,0,0,0,,,0.6521739130434783,0.0,0.0
